text,positive
"@first_timee хоть я и школота, но поверь, у нас то же самое :D общество профилирующий предмет типа)",1
"Да, все-таки он немного похож на него. Но мой мальчик все равно лучше:D",1
RT @KatiaCheh: Ну ты идиотка) я испугалась за тебя!!!,1
"RT @digger2912: ""Кто то в углу сидит и погибает от голода, а мы ещё 2 порции взяли, хотя уже и так жрать не хотим"" :DD http://t.co/GqG6iuE2…",1
"@irina_dyshkant Вот что значит страшилка :D
Но блин,посмотрев все части,у тебя создастся ощущение,что авторы курили что-то :D",1
ну любишь или нет? — Я не знаю кто ты бля:D http://t.co/brf9eNg1U6,1
"RT @SpoonLamer: Ох,900 :D ну это конечно же @twinkleAYO . Чтобы у нее было много друзей, ведь она такая мимими &lt;3",1
RT @veregijytaqo: У тебя есть ухажёр? Нет - мои уши не кто не жрёт :D,1
Поприветствуем моего нового читателя @Alexey1789 ;),1
Теперь у меня есть частичка Сиднея :) #Sydney #SydneyOperaHouse http://t.co/agnto3CZEi,1
"Люблю маму и папу!!!!а в остальное я так...-влюбляюсь, привязываюсь))) ",1
"RT @dicyziqecida: Как-то я забыла, что вчера приехал из деревни наш котэня и испугалась, когда он утром пришел ко мне общаться. :) Доброе у",1
"@MrsRourke_s_tit @_vivante @dyu_bryun так было задумано, да :)",1
"@Kruglova_Julia_  дааааа))
Ты... Ты... Ты и только ты...)*",1
"@Alex_Shvarz :)) О, нет. Вы ведь всё равно обзоры урезаете? Просто одна версия сильно порезанная, а другая полная, только без мусора.",1
"@Jyliaalex смотри там случайно в аспирантуру не попади, наука никого до добра не доводила)",1
"RT @Abdullin_A_R: @LikhodedovaMary эхх, а в УГАТУ о контрольных предупреждают уже на контрольной)",1
"@marinaysol а, а то подумала, что у тебя там пробежечка.)",1
@xLesherx @4EU3 зря вы с этой хуйней шутите)) я много историй наблюдал в режиме рил времени по работе с русскими которые разбивались на них,1
@Moscow_advokat Очень главное спасибо for   МЕДВЕД™ — он работал клоуном-аниматором!   :-))),1
"У нас есть прекрасная история, как сдохнуть за неделю!!)",1
"@Benjamin1610 сегодня столько поводов выпить, что я уже не могу усидеть на месте)",1
@StalinGulag унылый?...наверное...вдруг его перед этим чпокнули?)))),1
RT @lumenso: @GruzdevVladimir @Sergey_Degtyrev 1) При поддержке администрации МО Белевский район сборная Белевского района по http://t.co/r…,1
Поприветствуем моего нового читателя @afyfglprwl ;),1
"Как же хооорошо валяться, но мой бедный, обколотый попец хочет на прогулку) http://t.co/XugobJeb9c",1
"Хоть у кого то заебись всё) Настюх, рада за тебя пиздец) прям искренне рада)) есть все же справедливость на свете)",1
"да почему мне похуй то)
Новерное потому что еще не ночь темная) )",1
"блин,хочется писать и писать))всякую хуйню пишу,но все равно хочется)",1
@JuliaLacoste_ @Kate_Craik а мне хотя бы расскажите что по чем),1
RT @Lubalubochka2: @edvard146 для тебя;) http://t.co/EPzvFGfLfA,1
"@1m_one я по первому не смотрю,поэтому качаю в инете)найди группу в вк Оттепель,там думаю все серии есть)",1
Предвкушение  потрясающего уикенда  - Праздник света! Гулять ночи напролет и любоваться огнями :*,1
"я рааааааад,ведь сегодня впереди вся ночь,сериалы,фильмы,книга и кофе:) идеальная ночка:)",1
Списком надо! Всем гамузом. :D http://t.co/IL0Y1evQY7,1
RT @StarScrim3: #RT Электрогенератор http://t.co/qjlwirfD3A изсостоек и не победим!)),1
@mari_filimonova у меня нет фоток ))))) позже тогда кину )))),1
Второй день подряд мне снятся сны с Ромой. Я сошла с ума) #RomaAcorn,1
"RT @amytareva: -слушай, Коть, можно я этим боком встану, так лучше получается? :)
-а у меня наоборот этот! 
@PankratovaKotya лучший человек…",1
RT @qotozobygl: почти в каждых Пиратах-РТ неимоверно радует своими политическими позициями в отсутствии понимания и фактов. :-),1
"-Оля, ты очень добрая на самом деле. 
-А ты сучка злая. Бу на тебя
-Да я та еще тварь
-Заметь, ты сама это сказала
#диалогивофисе

Люблю их)",1
"Не иду завтра в школу,первый раз мама так настойчиво не отпускала меня,спасиибки)",1
Как же мне нравятся мужчины в строгих костюмах)) млею!,1
"@LilSwallow так это пушистая скотина тоже дрыхнет круглые сутки. просыпается только, чтоб поорать возле миски)",1
"@kgshel ахаха
да нормээ)) с моим врачем мне ничего не страшно))",1
"Встречайте, мои супер одногруппницы, будущие историки искусства и моды:) #большиеоригиналы #попятницамносимчерное http://t.co/zGe3pX3F8P",1
"все,я вас покидаю,результаты гляну вечером)#биатлон",1
"RT @Dasha_crazy_69: @DashkaTeddy дыы))) но кто сказал, что я ВСЕ поняла ааххах?) http://t.co/4dCaFCMXDl",1
Почти приехали в родное селенье!) @ москва-рига http://t.co/1MN85mNxwb,1
На*уй ваши Канары и Мальдивы ! Тут новая тема проскочила ! )) http://t.co/J8PhBhhIgD,1
"RT @frankieeway: а стояк теперь снова стояк :-)
вселенная вернула все на свои места",1
-ПриФетиГг СолНыСко=*КаГ ТфаИ ДиЛа??МнУ сИчаС фФ БоЛьНисЬкУ ИдеТь=) -к логопеду? ,1
"@3Gun_D да нашла фоточку в иг и нагло спиздила) Ничего, с фотографиями меня уже статусы в вконтакте бывают.",1
"А у нас в Нижнем слякотная погода - брр! Но у нас ОФИГЕННЫЙ ПРИВОЗ! ))) Заходим, заходим! http://t.co/9JmNtTAcfE",1
"Короче ,видимо ни в какой архитектурный я не иду :)
Там ,капец ,конечно )",1
"@linajj_5 ну в 18 сделаешь тогда)))
я дарья) а ты?)",1
"@Prozene плак-плак,надеюсь на драфте тогда их вытяну :)",1
@Chenzana а моя кроме поорать еще просится на балкон хвост поморозить) минуту посидит и назад просится.,1
Каждому так болеть) когда к тебе друзья в гости ходят,1
"-мам, мне так хреново!
-выпей таблетку и на работу! на следующей недели пойдем в сауну!
мама умеет поддержать и добавить стимула)",1
"3 тысячи,это не так дорого для пальто лол :D  т.е. пальто криса стоит меньше 200 тыс. рублей",1
"RT @jalikuhepan: это так мило, когда парни ставят на аву свои детские фотографии...) http://t.co/qvQjUz842z",1
"@iluhaivakin опа, дома никого?
помнишь, что ты мне должен?:D",1
"@Juliacka наверное) ну все-равно приятно:D:D:D ахах, я под столой вчера лежала",1
"@proBokator ... и работал. А не как этот:то потухнет, то погаснет ;)",1
"@Ksushakos38 лучше бы и то,и другое.)
кстати,после сегодняшнего я кроху ненавижу еще больше.",1
"@fidelevna ох, прям за год соскучилась. чего забросила прекрасных мужчин, не понимаю?)",1
"RT @tugejivybix: вышел прокатится, через 15 минут зашёл назад весь мокрый :) дождь полил.",1
@SofiBelyak а что за татуировка у тебя? фото в студию)),1
"@DianaKruchkova ого, надо будет так попробовать с следующий раз :D",1
"@Alen_gate ахахаха, я тоже сегодня полдня играла в Обломова :D
Примерно до полчетвертого",1
"RT @havabeqoduxi: Ого, на кинопоиске сделали ""саундтреки"" :D а я и не знала. Очень удобнено.",1
весь мой тви теперь будет наполнен долгожданным снегом)из года в год он меня бросает) http://t.co/PmExOxro9h,1
А еще я просрала Кравченко все метры и теперь она хуй в инстаграмм зайдет:)),1
"лежу в кровати,закуталась))еще бы вкусняшек кто -нибудь принес",1
@MrAkiko давай) Воронеж тебя ждет с распростертыми объятиями,1
"Сижу смотрю с братиком  ""Гадкий Я""))) ВСЕМ ДОБРА))))",1
Едем по мосту со скоростью 20 км/ч под донт вори)))))) доставило)))),1
"@DToropova АХАХАХХА ПРОСТИ, НО Я НЕМНОГО ЗАНЯТ :DD
В СЛЕДУЮЩИЙ РАЗ ОБЯЗАТЕЛЬНО ПОКАЖЕШЬ, ВСЕЕЕЕХ :DDDDD",1
"Перемен ждала. И дождалась)
Теперь буду ждать лето ",1
"день выдался удачным, я ожидала худшего, но у меня даже настроение отличное и это несмотря на то, что я ночью меньше 5 часов проспала:)",1
"@NicoleKlof дааа)) так что приезжай загорать и сразу на чай, этажом выше",1
"Q: Очень нравятся Ваши песни, Андрей! Успехов Вам)))  A: http://t.co/BDM6BXSoaN",1
"-Айгуль Маратовна, сколько за ппт?
-9.
-из 20?
-из 10.
-спасибо за щедрость!
-ну тебе же надо заканчивать уже.

вот это человечность:)",1
Радостных выходных!)))http://t.co/MDBsfzF5ml с помощью @youtube,1
Классная позвала в клуб) мммммммм)) очень интересно) ахахаххаха,1
"ой, Angel Beats начинается 11 апреля! весна становится всё интереснее :)",1
@De_nativo Опять что ли подозреваешь? ;))))) Ну как для чего? Что бы знать насколько в разных городах живём! ;),1
@mego_cheshire @Korotchikoff  что уже всё обломались с твитером?) скучно тут стало или что?,1
@Amiko_chan  Оно)ты не смотрела?)ты любишь клоунов?),1
"Ostap CAE Group . Наш девиз - ""И тут Остапа понесло"". Никогда не заканчиваем спикинг вовремя)",1
Дежурить с хомой  и саней ахуенно )ибо нихуя не делаешь+весело )люблю их ^^,1
"Говорят, что сейчас на такие портфели мода в городе. Правда? =) http://t.co/MALGjKoKvv",1
"8-ые пришли)) я опять запредельно радуюсь,  часы черного цвета это двойная радость^^ #мояпрелесть… http://t.co/oBXeKaU1G1",1
@chivonapets это он любит) прикольно было бы наверное по МКАДу на лыжах 80 км/ч шпарить),1
@arinalen  ахах тут еще у одной девочки фамилия Тимофеева была:D:3,1
пальцы совсем отвыкли от гитары. а та даже практически не расстроена),1
"В 5 классе будет учиться, на радость англичанке нашей))",1
"- ты все время работаешь? - нееет) - а в какие дни ты свободна? - во все, кроме пн,вт,ср,чт,пт,сб,вс ..эмм..",1
"@RomaShkaMaRINka @maksimofficial ясно))
у меня сердце заходилось, когда объявляли номинантов. как будто я сама лично участвую!)",1
"@jolechka3 получается,осторожно котлетку перекладываю в др.посуду)",1
